university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Ecole Polytechnique,2017,53,69.9,https://www.topuniversities.com/universities/ecole-polytechnique,France,Palaiseau,Europe,https://www.topuniversities.com/sites/default/files/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,Public,Very High,5,1248.00,S,633.00
City University of Hong Kong,2017,55,75.4,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,Public,Very High,6,5331.00,M,1483.00
Tokyo Institute of Technology (Tokyo Tech),2017,56,74.9,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Public,Very High,7,1622.00,M,1492.00
University of Amsterdam,2017,57,74.3,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11,7969.00,XL,6000.00
Carnegie Mellon University,2017,58,74.2,https://www.topuniversities.com/universities/carnegie-mellon-university,United States of America,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,Private,Very High,9,5739.00,L,1534.00
University of Washington,2017,59,73.9,https://www.topuniversities.com/universities/university-washington,United States of America,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,Public,Very High,15,7362.00,XL,2796.00
Technical University of Munich,2017,60,72.4,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5,11447.00,XL,6663.00
Shanghai Jiao Tong University,2017,61,72.2,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,Public,Very High,9,6371.00,XL,4386.00
Delft University of Technology,2017,62,72.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,Public,Very High,10,6104.00,L,2041.00
Osaka University,2017,63,71.7,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,Public,Very High,7,2268.00,L,3127.00
University of Glasgow,2017,63,71.7,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,Public,Very High,9,11065.00,L,3314.00
